"Revenues of colleges by type of revenues and funds (in current Canadian dollars) (x 1,000) 1"
"Frequency: Annual"
"Table: 37-10-0028-01 (formerly CANSIM 477-0060)"
"Release date: 2023-12-18"
"Geography: Canada, Province or territory"
""
""

"Geography","Canada",,,,,,,,,,,,,,,,,,,,
"Types of funds","Total funds",,,,,,,,,,,,,,,,,,,,
"Types of revenues","2001 / 2002","2002 / 2003","2003 / 2004","2004 / 2005","2005 / 2006","2006 / 2007","2007 / 2008","2008 / 2009","2009 / 2010","2010 / 2011","2011 / 2012","2012 / 2013","2013 / 2014","2014 / 2015","2015 / 2016","2016 / 2017","2017 / 2018","2018 / 2019","2019 / 2020","2020 / 2021","2021 / 2022"
,"Dollars",,,,,,,,,,,,,,,,,,,,
"Total revenues","6,393,602","6,681,127","7,040,339","7,234,638","7,592,990","8,296,928","8,833,174","9,257,922","9,421,891","9,907,323","9,912,373","10,320,208","10,607,365","10,811,112","11,112,911","11,568,417","12,077,484","13,242,361","13,283,579","12,582,171","13,971,575"

Symbol legend:
..., not applicable




Footnotes:
1,"These data can be subject to interpretation or clarification because of inherent differences among institutions in size, academic programs, organizations, physical environment, management philosophy, and budgetary and accounting procedures. Therefore, comparisons should be made with caution."
2,"Includes government departments and agencies - grants and contracts."



"How to cite: Statistics Canada. Table 37-10-0028-01  Revenues of colleges by type of revenues and funds (in current Canadian dollars) (x 1,000)"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3710002801
